week,building,site,method,is90_sum,is90_count,coverage90_sum,coverage90_count,loss_sum,loss_count
2016-10-24/2016-10-30,Eagle_assembly_Benny,Eagle,exact_lineage,79.36573547208091,74,68.33333333333333,74,29.72077521362829,74
2016-10-24/2016-10-30,Eagle_assembly_Benny,Eagle,seasonal_naive,100.45271338512397,74,68.0,74,32.205189703745184,74
2016-10-24/2016-10-30,Eagle_assembly_Benny,Eagle,shrinkage,82.59768205222464,74,68.33333333333333,74,29.144498251364475,74
2016-10-24/2016-10-30,Eagle_assembly_Benny,Eagle,sketch_2048,78.68543552287683,74,67.66666666666667,74,29.924233175320694,74
2016-10-24/2016-10-30,Fox_assembly_Adrianne,Fox,ci,204.73409378119214,74,38.666666666666664,74,83.3631289539755,74
2016-10-24/2016-10-30,Fox_assembly_Adrianne,Fox,common_corrected,226.90272835571773,74,38.0,74,87.545553668018,74
2016-10-24/2016-10-30,Fox_assembly_Adrianne,Fox,exact_lineage,223.32168448007914,74,39.0,74,86.04258748217586,74
2016-10-24/2016-10-30,Fox_assembly_Adrianne,Fox,seasonal_naive,334.4201658940079,74,16.0,74,122.37474613548835,74
2016-10-24/2016-10-30,Fox_assembly_Adrianne,Fox,shrinkage,241.25402639152742,74,34.333333333333336,74,86.3751279976086,74
2016-10-24/2016-10-30,Fox_assembly_Adrianne,Fox,sketch_2048,210.95414338109794,74,40.0,74,85.47095750572758,74
2016-10-24/2016-10-30,Gator_assembly_Alexa,Gator,ci,159.6421060511841,74,39.333333333333336,74,29.862656081024276,74
2016-10-24/2016-10-30,Gator_assembly_Alexa,Gator,common_corrected,217.14215152429782,74,32.0,74,26.26610640391015,74
2016-10-24/2016-10-30,Gator_assembly_Alexa,Gator,exact_lineage,208.34230791832323,74,29.0,74,25.890662289530024,74
2016-10-24/2016-10-30,Gator_assembly_Alexa,Gator,seasonal_naive,0.0,74,74.0,74,0.0,74
2016-10-24/2016-10-30,Gator_assembly_Alexa,Gator,shrinkage,299.3098223297692,74,27.666666666666664,74,30.808609764317925,74
2016-10-24/2016-10-30,Gator_assembly_Alexa,Gator,sketch_2048,190.86957426535997,74,25.333333333333332,74,26.138947425132454,74
2016-10-24/2016-10-30,Hog_assembly_Colette,Hog,ci,103.94169687100805,74,66.33333333333333,74,34.91683351252622,74
2016-10-24/2016-10-30,Hog_assembly_Colette,Hog,common_corrected,104.85739298265412,74,68.66666666666667,74,35.780050664258574,74
2016-10-24/2016-10-30,Hog_assembly_Colette,Hog,exact_lineage,102.2640004752031,74,67.66666666666667,74,35.04398994437105,74
2016-10-24/2016-10-30,Hog_assembly_Colette,Hog,seasonal_naive,135.87557430925548,74,70.0,74,58.589065415960505,74
2016-10-24/2016-10-30,Hog_assembly_Colette,Hog,shrinkage,108.69938781551073,74,67.66666666666667,74,38.011790542435556,74
2016-10-24/2016-10-30,Hog_assembly_Colette,Hog,sketch_2048,102.07828128830133,74,66.66666666666667,74,34.779857172113054,74
2016-10-24/2016-10-30,Lamb_assembly_Alden,Lamb,ci,129.94257356519933,74,61.333333333333336,74,17.731029959317688,74
2016-10-24/2016-10-30,Lamb_assembly_Alden,Lamb,common_corrected,128.0084269623704,74,61.666666666666664,74,17.719103643269133,74
2016-10-24/2016-10-30,Lamb_assembly_Alden,Lamb,exact_lineage,128.57937887388377,74,61.666666666666664,74,17.88208885415816,74
2016-10-24/2016-10-30,Lamb_assembly_Alden,Lamb,seasonal_naive,10.436205619355695,74,70.0,74,4.119554849745665,74
2016-10-24/2016-10-30,Lamb_assembly_Alden,Lamb,shrinkage,119.95786217897407,74,62.333333333333336,74,17.925227228210545,74
2016-10-24/2016-10-30,Lamb_assembly_Alden,Lamb,sketch_2048,128.20682157291574,74,61.666666666666664,74,18.02472761617409,74
2016-10-24/2016-10-30,Moose_education_Abbie,Moose,ci,24.777265577629304,74,57.0,74,6.147417469693072,74
2016-10-24/2016-10-30,Moose_education_Abbie,Moose,common_corrected,27.25918714362027,74,56.0,74,6.231373517972856,74
2016-10-24/2016-10-30,Moose_education_Abbie,Moose,exact_lineage,25.382279953270984,74,57.0,74,6.050825453048961,74
2016-10-24/2016-10-30,Moose_education_Abbie,Moose,seasonal_naive,15.224051631789079,74,68.0,74,5.731833374794389,74
2016-10-24/2016-10-30,Moose_education_Abbie,Moose,shrinkage,37.26655693013244,74,49.0,74,8.83960984977201,74
2016-10-24/2016-10-30,Moose_education_Abbie,Moose,sketch_2048,24.652203273332184,74,56.666666666666664,74,6.094173406513423,74
2016-10-24/2016-10-30,Mouse_health_Buddy,Mouse,ci,60.848728354565,72,55.0,72,7.996937927503196,72
2016-10-24/2016-10-30,Mouse_health_Buddy,Mouse,common_corrected,36.145075334554036,72,72.0,72,3.1405826732745883,72
2016-10-24/2016-10-30,Mouse_health_Buddy,Mouse,exact_lineage,37.97355445601568,72,72.0,72,3.8475524922972184,72
2016-10-24/2016-10-30,Mouse_health_Buddy,Mouse,seasonal_naive,0.0,72,72.0,72,0.0,72
2016-10-24/2016-10-30,Mouse_health_Buddy,Mouse,shrinkage,46.28421377033103,72,72.0,72,3.547721298581699,72
2016-10-24/2016-10-30,Mouse_health_Buddy,Mouse,sketch_2048,37.00074793034344,72,68.33333333333333,72,4.143823577950899,72
